-182.412, 58.078, 3.717,  9.338
-182.406, 57.829, 3.742,  9.405
-182.400, 57.579, 3.767,  9.472
-182.393, 57.327, 3.792,  9.539
-182.387, 57.073, 3.817,  9.606
-182.381, 56.818, 3.843,  9.673
-182.375, 56.560, 3.868,  9.740
-182.369, 56.302, 3.894,  9.807
-182.363, 56.041, 3.920,  9.874
-182.357, 55.779, 3.946,  9.941
-182.351, 55.515, 3.971, 10.008
-182.345, 55.249, 3.997, 10.075
-182.339, 54.981, 4.023, 10.142
-182.333, 54.712, 4.049, 10.209
-182.327, 54.441, 4.076, 10.276
-182.322, 54.168, 4.103, 10.343
-182.316, 53.894, 4.129, 10.410
-182.310, 53.617, 4.156, 10.477
-182.305, 53.339, 4.184, 10.544
-182.299, 53.059, 4.211, 10.611
-182.294, 52.777, 4.239, 10.678
-182.288, 52.493, 4.267, 10.745
-182.283, 52.208, 4.295, 10.812
-182.278, 51.920, 4.323, 10.879
-182.272, 51.631, 4.352, 10.946
-182.267, 51.340, 4.381, 11.013
-182.262, 51.046, 4.410, 11.080
-182.257, 50.751, 4.439, 11.147
-182.252, 50.454, 4.468, 11.214
-182.247, 50.155, 4.497, 11.281
-182.241, 49.854, 4.527, 11.348
-182.236, 49.551, 4.557, 11.415
-182.231, 49.246, 4.587, 11.482
-182.226, 48.939, 4.618, 11.549
-182.222, 48.630, 4.648, 11.616
-182.217, 48.319, 4.679, 11.683
-182.212, 48.006, 4.710, 11.750
-182.207, 47.690, 4.741, 11.817
-182.202, 47.373, 4.773, 11.884
-182.197, 47.053, 4.804, 11.951
-182.193, 46.732, 4.836, 12.018
-182.188, 46.408, 4.868, 12.085
-182.183, 46.082, 4.901, 12.152
-182.179, 45.754, 4.933, 12.219
-182.174, 45.424, 4.966, 12.286
-182.170, 45.092, 4.999, 12.353
-182.165, 44.757, 5.032, 12.420
-182.160, 44.420, 5.065, 12.487
-182.156, 44.081, 5.099, 12.554
-182.151, 43.740, 5.122, 12.621
-182.147, 43.400, 5.092, 12.688
-182.143, 43.062, 5.070, 12.755
-182.138, 42.725, 5.068, 12.822
-182.134, 42.386, 5.089, 12.889
-182.130, 42.045, 5.132, 12.956
-182.126, 41.700, 5.196, 13.023
-182.121, 41.350, 5.277, 13.090
-182.117, 40.994, 5.368, 13.157
